artist,total_weeks,count
DAVID GUETTA,6,6
DAVID GUETTA CHRIS WILLIS,1,1
DAVID SNEDDON,2,1
DAVID SOUL,7,2
DAVID WHITFIELD,12,2
DAVID WHITFIELD MANTOVANI AND HIS ORCHESTRA,10,1
DAVID ZOWIE,1,1
DAWN,9,2
DEAD OR ALIVE,2,1
DEAN MARTIN,4,1
DEEP BLUE SOMETHING,1,1
DEL SHANNON,3,1
DEMIS ROUSSOS,1,1
DENIECE WILLIAMS,2,1
DES O'CONNOR,1,1
DESMOND DEKKER,1,1
DESTINY'S CHILD,2,2
DEV,1,1
DEXYS MIDNIGHT RUNNERS,6,2
DIANA ROSS,7,2
DIANA VICKERS,1,1
DICKIE VALENTINE,6,2
DIDDY,4,2
DIZZEE RASCAL,8,4
DJ CASPER,1,1
DJ FRESH,2,2
DJ KHALED,2,2
DJ MENTAL THEO'S BAZZHEADZ,5,1
DJ OTZI,1,1
DJ PIED PIPER & THE MASTERS OF CEREMONIES,1,1
DJ SAMMY,1,1
DOCTOR & THE MEDICS,3,1
DOE,2,1
DON CORNELL,5,1
DON MCLEAN,5,2
DONNA SUMMER,4,1
DONNY OSMOND,10,3
DOOP,3,1
DORIS DAY,15,2
DR HOOK,3,1
DRAKE,16,2
DREAM WEAVERS,3,1
DUA LIPA,2,1
DUANE HARDEN,1,1
DUFFY,5,1
DUKE DUMONT,3,2
DURAN DURAN,6,2
DUSTY SPRINGFIELD,1,1
DVBBS & BORGEOUS,1,1
EAMON,4,1
EAST 17,5,1
ED SHEERAN,20,4
EDDIE CALVERT,13,2
EDDIE COCHRAN,2,1
EDDIE FISHER,2,2
EDDIE GRANT,3,1
EDEN KANE,1,1
EDISON LIGHTHOUSE,5,1
EIFFEL 65,3,1
ELAINE PAIGE,4,1
ELLA EYRE,1,1
ELLA HENDERSON,2,1
ELLIE GOULDING,7,2
ELTON JOHN,23,7
ELVIS,79,18
EMELI SANDE,3,2
EMILE FORD & THE CHECKMATES,6,1
EMINEM,8,8
EMMA BUNTON,2,1
ENGELBERT HUMPERDINCK,11,2
ENGLAND WORLD CUP SQUAD,3,1
ENIGMA,1,1
ENRIQUE IGLESIAS,4,1
ENYA,5,2
EQUALS,3,1
ERASURE,5,1
ERIC CLAPTON,1,1
ERIC PRYDZ,5,1
ESTELLE,7,2
ESTHER & ABI OFARIM,3,1
ETERNAL,1,1
EUROPE,2,1
EURYTHMICS,1,1
EVA CASSIDY,1,1
EVA SIMONS,1,1
EVANESCENCE,4,1
EVERLY BROTHERS,19,4
EXAMPLE,3,2
FAIRGROUND ATTRACTION,1,1
FAITH EVANS,6,1
FALCO,1,1
FAR EAST MOVEMENT,2,1
FATBOY SLIM,1,1
FATMAN SCOOP THE CROOKLYN CLAN,2,1
FEARGAL SHARKEY,2,1
FEDDE LE GRAND,1,1
FERN KINNEY,1,1
FERRY AID,3,1
FIVE,4,3
FLEETWOOD MAC,1,1
FLO RIDA,6,5
FLOATERS,1,1
FLORENCE & THE MACHINE,3,1
FLORENCE WELCH,1,1
FLOYD CRAMER,1,1
FLYING PICKETS,5,1
FOREIGNER,3,1
FOUNDATIONS,2,1
FOUR PENNIES,1,1
FOUR SEASONS,2,1
FOUR TOPS,3,1
FRAGMA,2,1
FRANK IFIELD,17,4
FRANK SINATRA,8,3
FRANKEE,3,1
FRANKIE GOES TO HOLLYWOOD,15,3
FRANKIE LAINE,32,4
FRANKIE LYMON,3,1
FRANKIE VAUGHAN,7,2
FREDA PAYNE,6,1
FREDDIE MERCURY,2,1
FUGEES,7,2
FUN.,1,1
GABRIELLE,6,3
GABRIELLE APLIN,1,1
GARETH GATES,11,4
GARETH MALONE,2,2
GARETH MALONE'S ALL STAR CHOIR,1,1
GARY BARLOW,3,3
GARY GLITTER,9,3
GARY JULES,3,1
GARY NUMAN,1,1
GARY PUCKETT,4,1
GENE PITNEY,4,1
GEORGE HARRISON,6,1
GEORGE MCCRAE,3,1
GEORGE MICHAEL,17,7
GEORGIE FAME,4,3
THE BLUE FLAMES,3,2
GERI HALLIWELL,5,4
GERRY & THE PACEMAKERS,11,3
GILBERT O'SULLIVAN,4,2
GINA G,1,1
GIRLS ALOUD,8,4
GLENN MEDEIROS,4,1
GLORIA GAYNOR,4,1
GNARLS BARKLEY,9,1
GOOMBAY DANCE BAND,3,1
GOONROCK,4,1
GORILLAZ,1,1
GOTYE,5,1
GRANDE,2,2
GUY MITCHELL,14,4
HALE & PACE & THE STONKERS,1,1
HALSEY,4,1
HANK MARVIN,3,1
HANSON,3,1
HARRY BELAFONTE,7,1
HARRY STYLES,1,1
HAYLEY WILLIAMS,1,1
HEAR'SAY,4,2
HELEN SHAPIRO,6,2
HELPING HAITI,2,1
HERMAN'S HERMITS,2,1
HIGHWAYMEN,1,1
HOLLIES,5,2
HOLLY VALANCE,1,1
HONEYCOMBS,2,1
HOT CHOCOLATE,3,1
HOUSEMARTINS,1,1
HUGO MONTENEGRO & HIS ORCHESTRA & CHORUS,4,1
HUMAN LEAGUE,5,1
HURTS,1,1
IAN DURY & THE BLOCKHEADS,1,1
ICONA POP,1,1
IGGY AZALEA,1,1
IRENE CARA,3,1
IRON MAIDEN,2,1
IYAZ,2,1
J.J. BARRIE,1,1
JA RULE,1,1
JACK RADICS,2,1
TAXI GANG,2,1
JACKIE TRENT,1,1
JACKIE WILSON,4,1
JACKSONS,1,1
JAGGED EDGE,2,1
JAM,9,4
JAMES ARTHUR,7,2
JAMES BLUNT,5,1
JAMES CORDEN,2,1
JAMIROQUAI,1,1
JANE BIRKIN,1,1
JANE MORGAN,1,1
JANELLE MONAE,1,1
JASON DERULO,9,4
JASON DONOVAN,9,4
JASON NEVINS,6,1
JAX JONES,1,1
JAY-Z,12,3
JAZZY JEFF & THE FRESH PRINCE,2,1
JENNIFER LOPEZ,4,3
JENNIFER RUSH,5,1
JERRY KELLER,1,1
JERRY LEE LEWIS,2,1
JESS GLYNNE,10,5
JESSIE J,5,3
JET HARRIS,3,1
JIM DIAMOND,1,1
JIM REEVES,5,1
JIMI HENDRIX EXPERIENCE,1,1
JIMMY JONES,3,1
JIMMY NAIL,3,1
JIMMY YOUNG,7,2
JIVE BUNNY & THE MASTERMIXERS,9,3
JLS,6,5
JO STAFFORD,1,1
JOE COCKER,1,1
JOE DOLCE,3,1
JOE McELDERRY,1,1
JOHN DENVER,1,1
JOHN LEGEND,2,1
JOHN LENNON,7,3
JOHN LEYTON,4,1
JOHN MARTIN,1,1
JOHN NEWMAN,3,3
JOHN TRAVOLTA,16,2
JOHNNIE RAY,11,3
JOHNNY KIDD & THE PIRATES,1,1
JOHNNY LOGAN,2,1
JOHNNY MATHIS,3,1
JOHNNY NASH,1,1
JOHNNY PRESTON,2,1
JOHNNY TILLOTSON,2,1
JOHNSTON BROTHERS,2,1
JOSH KUMRA,1,1
JULIE COVINGTON,1,1
JULIO IGLESIAS,1,1
JUSTICE COLLECTIVE,1,1
JUSTIN BIEBER,29,6
JUSTIN TIMBERLAKE,9,4
JXL,4,1
KC & THE SUNSHINE BAND,3,1
KAISER CHIEFS,1,1
KAJAGOOGOO,2,1
KALIN TWINS,5,1
KANYE WEST,7,3
KATE BUSH,4,1
KATIE MELUA,1,1
KATY B,1,1
KATY PERRY,11,5
KAY STARR,3,2
KDA,1,1
KELLY CLARKSON,1,1
KELLY MARIE,2,1
KELLY ROWLAND,3,2
KEN BOOTHE,3,1
KENNY ROGERS,3,2
KERI HILSON,2,1
KESHA,2,2
KID ROCK,1,1
KIESZA,1,1
KIKI DEE,6,1
KIMBRA,5,1
KINGS OF LEON,3,1
KINKS,5,3
KITTY KALLEN,1,1
KLF,2,1
KRAFTWERK,1,1
KWS,5,1
KYLA,15,1
KYLIE MINOGUE,16,7
LA ROUX,1,1
LABRINTH,1,1
LADY GAGA,10,4
LAS KETCHUP,1,1
LAUREN BENNETT,4,1
LAZA MORGAN,2,1
LEANN RIMES,1,1
LEE MARVIN,3,1
LENA MARTELL,3,1
LENNY KRAVITZ,1,1
LEO SAYER,5,2
LEON JACKSON,3,1
LEONA LEWIS,13,3
LIBERTY X,1,1
LIEUTENANT PIGEON,4,1
LIGHTNING SEEDS,5,2
LIL' KIM,1,1
LIL WAYNE,1,1
LIL' JON,2,1
LILLY WOOD,2,1
LILY ALLEN,9,3
LIMP BIZKIT,2,1
LINDY LAYTON,4,1
LIONEL RICHIE,6,1
LISA 'LEFT EYE' LOPES,1,1
LISA STANSFIELD,2,1
LITA ROZA,1,1
JIMMY OSMOND,5,1
LITTLE MIX,8,4
LIVIN' JOY,1,1
LL COOL J,1,1
LMC,2,1
LMFAO,4,1
LONG JOHN BALDRY,2,1
LONNIE DONEGAN,11,3
LORD ROCKINGHAM'S XI,3,1
LORDE,1,1
LOS LOBOS,2,1
LOST FREQUENCIES,1,1
LOU BEGA,2,1
LOUIS ARMSTRONG,4,1
LOVE AFFAIR,2,1
LUDACRIS,2,1
LUIS FONSI,12,1
LUKAS GRAHAM,5,1
LULU,2,1
M/A/R/R/S,2,1
MACKLEMORE,1,1
MADISON AVENUE,1,1
MADNESS,2,1
MADONNA,29,13
MAGIC,1,1
MANCHESTER UNITED FOOTBALL CLUB,1,1
MANFRED MANN,7,3
MANHATTAN TRANSFER,3,1
MANIC STREET PREACHERS,2,2
MANTOVANI,11,2
MARC ALMOND,4,1
MARCELS,2,1
MARIA MCKEE,4,1
MARIAH CAREY,6,2
MARIO WINANS,2,1
MARK MORRISON,2,1
MARK RONSON,7,1
MARMALADE,3,1
MAROON 5,3,1
MARTIN GARRIX,1,1
MARTINE MCCUTCHEON,2,1
MARVIN GAYE,3,1
MARVIN RAINWATER,3,1
MARY HOPKIN,6,1
MASH,3,1
MATT CARDLE,3,1
MATTHEWS' SOUTHERN COMFORT,3,1
MAYA,1,1
McFLY,8,7
MEAT LOAF,7,1
MECK,2,1
MEGHAN TRAINOR,5,2
MEL & KIM,1,1
MELANIE B,1,1
MELANIE C,2,2
MEN AT WORK,3,1
MO,5,1
MICHAEL ANDREWS,3,1
MICHAEL HOLLIDAY,3,2
MICHAEL JACKSON,16,7
MICHELLE,3,1
MICK JAGGER,4,1
MIDDLE OF THE ROAD,5,1
MIDGE URE,1,1
MIKA,5,1
MIKE POSNER,4,1
MIKE SARNE,2,1
MILEY CYRUS,2,2
MILITARY WIVES,1,1
MINT ROYALE,2,1
MS D,2,1
MISSY ELLIOTT,1,1
MODJO,2,1
MONKEES,4,1
MOODY BLUES,1,1
MOVE,1,1
MR BLOBBY,3,1
MR OIZO,2,1
MR PROBZ,2,1
MUD,10,3
MUNGO JERRY,9,2
MUSICAL YOUTH,3,1
MY CHEMICAL ROMANCE,2,1
MYA,1,1
N-DUBZ,3,1
NANCY SINATRA,6,2
NATASHA BEDINGFIELD,2,1
NAUGHTY BOY,1,1
NAYER,3,1
NE-YO,7,5
NELLY,6,4
NELLY FURTADO,4,2
NENA,3,1
NENEH CHERRY,1,1
NERO,1,1
NEW EDITION,1,1
NEW KIDS ON THE BLOCK,5,2
NEW ORDER,2,1
NEW SEEKERS,5,2
NICK BERRY,3,1
NICKI MINAJ,1,1
NICKY ROMERO,1,1
NICO & VINZ,2,1
NICOLE,2,1
NICOLE KIDMAN,3,1
NICOLE SCHERZINGER,1,1
NILSSON,5,1
NIZLOPI,1,1
NO DOUBT,3,1
NORMAN GREENBAUM,2,1
NOTORIOUS BIG,2,1
OASIS,8,8
ODYSSEY,2,1
OFFSPRING,1,1
OLIVE,2,1
OLIVER HELDENS,1,1
OLIVIA NEWTON-JOHN,18,3
OLLY MURS,5,4
OLIVER CHEATHAM,4,1
OMI,4,1
ONE DIRECTION,4,4
ONEREPUBLIC,2,1
ORSON,1,1
OSMONDS,3,1
OUTHERE BROTHERS,5,2
OVERLANDERS,3,1
OWL CITY,3,1
OXIDE & NEUTRINO,1,1
OZZY & KELLY OSBOURNE,1,1
PALOMA FAITH,1,1
PAPER LACE,3,1
PARTNERS IN KRYME,4,1
PAT BOONE,5,1
PATO BANTON,4,1
PAUL ANKA,9,1
PAUL HARDCASTLE,5,1
PAUL MCCARTNEY,2,1
PAUL YOUNG,3,1
PEREZ PRADO & HIS ORCHESTRA,2,1
PERRY COMO,13,2
PET SHOP BOYS,12,4
PETER & GORDON,2,1
PETER ANDRE,3,3
PETER KAY,9,2
PETER KAY'S ANIMATED ALL STAR,2,1
PETER SARSTEDT,4,1
PETERS & LEE,1,1
PETEY PABLO,1,1
PETULA CLARK,3,2
PHARRELL WILLIAMS,14,4
PHIL COLLINS,8,3
PHILIP BAILEY,4,1
PHYLLIS NELSON,1,1
PILOT,3,1
PINK,10,4
PINK FLOYD,5,1
PITBULL,6,3
PIXIE LOTT,3,3
PJ & DUNCAN,1,1
PLATTERS,1,1
POLICE,13,5
POST MALONE,4,1
PRETENDERS,2,1
PRINCE,2,1
PROCOL HARUM,6,1
PRODIGY,5,2
PROFESSOR GREEN,2,1
PSY,1,1
PUFF DADDY,6,1
PUSSYCAT,4,1
PUSSYCAT DOLLS,5,2
QUAVO,1,1
QUEEN,21,5
R KELLY,7,2
RACHEL PLATTEN,1,1
RAGE AGAINST THE MACHINE,1,1
RAY CHARLES,2,1
RAY STEVENS,1,1
RAYVON,3,1
RAZORLIGHT,1,1
REAL THING,3,1
REDMAN,2,1
REDNEX,3,1
RENEE & RENATO,4,1
RICK ASTLEY,5,1
RICKY MARTIN,3,1
RICKY VALANCE,3,1
RIGHT SAID FRED,3,1
RIGHTEOUS BROTHERS,6,2
RIHANNA,25,9
RITA ORA,5,4
RIXTON,1,1
RIZZLE KICKS,1,1
ROBBIE WILLIAMS,11,7
ROBIN BECK,3,1
ROBIN SCHULZ,2,1
ROBIN THICKE,5,1
ROBSON JEROME,6,2
ROBYN KLEERUP,1,1
ROD STEWART,18,6
ROGER MILLER,1,1
ROGER SANCHEZ,1,1
ROLF HARRIS,6,1
ROLL DEEP,4,2
ROLLING STONES,18,8
RONAN KEATING,4,3
RONNIE HILTON,6,1
ROOM 5,4,1
ROSEMARY CLOONEY,4,2
ROUTE 94,1,1
ROXY MUSIC,2,1
ROY ORBISON,7,3
RUBETTES,4,1
RUBY MURRAY,3,1
RUDIMENTAL,2,2
RUI DA SILVA,1,1
RUN DMC,6,1
RUSS CONWAY,6,2
RYAN LEWIS,1,1
S CLUB 7,5,4
S'EXPRESS,2,1
SAK NOEL,1,1
SALLY SWEETLAND,1,1
SAM & MARK,1,1
SAM & THE WOMP,1,1
SAM BAILEY,1,1
SAM MARTIN,1,1
SAM SMITH,9,6
SANDI THOM,1,1
SANDIE SHAW,9,3
SARAH-JANE MORRIS,4,1
SATURDAYS,1,1
SCAFFOLD,4,1
SCISSOR SISTERS,4,1
SCOTT MCKENZIE,4,1
SCOUTING FOR GIRLS,2,1
SCRIPT,2,1
SEAN KINGSTON,4,1
SEAN PAUL,5,2
SEARCHERS,7,3
SECONDCITY,1,1
SEEKERS,10,4
SERGE GAINSBOURG,1,1
SHADOWS,44,12
SHAGGY,7,4
SHAKESPEARE'S SISTER,8,1
SHAKIN' STEVENS,10,4
SHAKIRA,8,2
SHAMEN,4,1
SHANKS & BIGFOOT,2,1
SHAPESHIFTERS,1,1
SHAWN MENDES,2,1
SHAYNE WARD,4,1
SHIRLEY BASSEY,5,2
SHOWADDYWADDY,3,1
SIA,1,1
SIAN EVANS,1,1
SIGALA,1,1
SIGMA,2,2
SIMON & GARFUNKEL,3,1
SIMON PARK ORCHESTRA,4,1
SIMPLE MINDS,2,1
SIMPLY RED,4,1
SIMPSONS,3,1
SINEAD O'CONNOR,4,1
SISTER SLEDGE,4,1
SLADE,20,6
SLIK,1,1
SLIM WHITMAN,11,1
SMALL FACES,1,1
SMOKEY ROBINSON,3,2
SNAP,8,2
SNOOP DOGG,2,1
SO SOLID CREW,1,1
SOFT CELL,2,1
SONIA,2,1
SONIQUE,3,1
SONNY,2,1
SOUL II SOUL,4,1
SPACEDUST,1,1
SPANDAU BALLET,4,1
SPECIALS,3,1
SPENCER DAVIS GROUP,3,2
SPICE GIRLS,22,9
SPILLER,1,1
SPINNERS,2,1
SPITTING IMAGE,3,1
ST WINIFRED'S SCHOOL CHOIR,2,1
STARGAZERS,10,3
STARSHIP,4,1
STATUS QUO,1,1
STEPS,2,2
STEREOPHONICS,1,1
STEVE 'SILK' HURLEY,2,1
STEVE BROOKSTEIN,1,1
STEVE HARLEY,2,1
STEVE MILLER BAND,2,1
STEVIE WONDER,9,2
STILTSKIN,1,1
STORM QUEEN,1,1
STREETS,1,1
STYLISTICS,3,1
SUGABABES,11,6
SUPREMES,2,1
SURVIVOR,4,1
SUZI QUATRO,3,2
SWEDISH HOUSE MAFIA,1,1
SWEET,5,1
SWEET SENSATION,1,1
T REX,16,4
t.A.T.u.,4,1
T'PAU,5,1
TAB HUNTER,7,1
TAIO CRUZ,4,2
TAKE THAT,29,12
TAMMY WYNETTE,3,1
TAMPERER,1,1
TAMS,3,1
TASMIN ARCHER,2,1
TEENAGERS,3,1
TELETUBBIES,2,1
TELLY SAVALAS,2,1
TEMPERANCE SEVEN,1,1
TENNESSEE ERNIE FORD,9,2
TERRY JACKS,4,1
THE ACES,1,1
THE CHAINSMOKERS,4,1
THE FIRM,2,1
THE KUMARS,2,1
THE LEWISHAM & GREENWICH NHS CHOIR,1,1
THE MELLOMEN,3,1
THE MIRACLES,1,1
THE PIPES & DRUMS & MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARDS,5,1
THE PLASTIC POPULATION,5,1
THE PROCLAIMERS,3,1
THE SHADOWS,28,7
THE SHONDELLS,3,1
THE SPECIAL AKA,2,1
THE WONDER STUFF,2,1
THREE DEGREES,2,1
THUNDERCLAP NEWMAN,3,1
TIFFANY,3,1
TIGHT FIT,3,1
TIM MCGRAW,1,1
TIMBALAND,3,2
TIMELORDS,1,1
TINA CHARLES,3,1
TINCHY STRYDER,4,2
TING TINGS,1,1
TINIE TEMPAH,9,7
TOM JONES,8,2
TOMCRAFT,1,1
TOMMY EDWARDS,3,1
TOMMY JAMES,3,1
TOMMY ROE,1,1
TOMMY STEELE & THE STEELMEN,1,1
TONY BENNETT,2,1
TONY CHRISTIE,7,1
TONY DI BART,1,1
TONY MEEHAN,3,1
TONY ORLANDO,4,1
TORI AMOS,1,1
TORNADOS,5,1
TREMELOES,6,2
TROGGS,2,1
TUBEWAY ARMY,4,1
TULISA,1,1
TYMES,1,1
TYPICALLY TROPICAL,1,1
U2,8,7
UB40,6,3
UNION GAP,4,1
UNIT FOUR PLUS TWO,1,1
USA FOR AFRICA,2,1
USHER,6,4
VANILLA ICE,4,1
VARIOUS ARTISTS,3,1
VENGABOYS,2,2
VERA LYNN,2,1
VERVE,1,1
VIC DAMONE,2,1
VIC REEVES,2,1
VILLAGE PEOPLE,3,1
WALKER BROTHERS,5,2
WAMDUE PROJECT,1,1
WANTED,3,2
WANZ,1,1
WENDY RICHARD,2,1
WESTLIFE,20,14
WET WET WET,23,3
WHAM!,9,4
WHIGFIELD,4,1
WHITE TOWN,1,1
WHITNEY HOUSTON,16,4
WILEY,2,1
WILL I AM,7,5
WILL SMITH,4,1
WILL YOUNG,9,4
WINDSOR DAVIES & DON ESTELLE,3,1
WINGS,9,1
WINIFRED ATWELL,8,2
WIZ KHALIFA,5,2
WIZKID,15,1
WIZZARD,5,2
WRETCH 32,1,1
WURZELS,2,1
WYCLEF JEAN,5,1
X FACTOR,7,4
X FACTOR FINALISTS,6,3
X FACTOR FINALISTS 2010,2,1
X FACTOR FINALISTS 2011,1,1
YANOU,1,1
DO,1,1
YAZZ,5,1
YEARS & YEARS,1,1
YOLANDA BE COOL,1,1
YOUNG ONES,3,1
YOUNG THUG,5,1
ZAGER & EVANS,3,1
ZAYN,1,1
