artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
ARCHIES,8,1,33QmoCkSqADuQEtMCysYLh,https://i.scdn.co/image/1abc5a104154d1f9fc5c5a4390596f4ce7a0d5b1,64,64
ARCTIC MONKEYS,2,2,7Ln80lUS6He07XvHI8qqHH,https://i.scdn.co/image/e1f00ceabce8dd0480bad7e873993082d9ac3fe9,200,267
ARETHA FRANKLIN,2,1,7nwUJBm0HE4ZxD3f5cy5ok,https://i.scdn.co/image/a7bb8e17ab2e669b545482b7cf6dc63e4320f91c,200,200
ARIANA GRANDE,2,2,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/9ebcff1926ceca5c06e065824b25d4a5989a5a5b,200,133
ARMAND VAN HELDEN,3,2,3cQA9WH8liZfeja1DxcDYE,https://i.scdn.co/image/a933690cbbdf1a341a6e4dca36f689cb702b4a93,200,304
ART GARFUNKEL,8,2,6kEsKkXuE4olX7m3mNLZkS,https://i.scdn.co/image/c24c38d406713f784884914a1095e566591e8913,200,308
ARTISTS FOR GRENFELL,1,1,6FX5FKX939Ew7IflBzKfls,https://i.scdn.co/image/3f32177a88a759d77c17b18097aed0ab5d088426,64,64
ASHANTI,1,1,5rkVyNGXEgeUqKkB5ccK83,https://i.scdn.co/image/f9c038313ddafd02ac7473012bf095b118242f46,200,159
ASWAD,2,1,55LyOQNIa9J8wX6y6eJfc0,https://i.scdn.co/image/c81f6e98712d51a7930070f6cbf6c826996ece0a,200,199
ATB,2,1,7jZM5w05mGhw6wTB1okhD9,https://i.scdn.co/image/d3b7f94beeeee2a164f901b30530c6ee6263c02b,160,160
ATOMIC KITTEN,9,3,6JMHws5haIO6V35YNYDnDw,https://i.scdn.co/image/ea580bc946067d8424468227a829615538800fee,200,200
AVERY STORM,2,1,79OSA519ScnPY0MVDpu8ZV,https://i.scdn.co/image/798dcd5c1e0f3dd665da6a3308f830c741f98f34,64,64
AVICII,4,2,1vCWHaC5f2uS3yhpwWbIA6,https://i.scdn.co/image/c55bc6f57b6bb297425c3ae694f92672dcf0e2c2,160,160
B BUMBLE & THE STINGERS,1,1,6Z3V0wUuOHqAa7R7qhoVW9,https://i.scdn.co/image/e184ceb1a2058ef378f7812a4f860c7534580ad8,64,64
B.O.B,4,3,74ASZWbe4lXaubB36ztrGX,https://i.scdn.co/image/30c7d5720f7bee4c343994aef223457fb8b2d459,200,200
B*WITCHED,6,4,72eP0W3rIhkxd0NHGg4w4u,https://i.scdn.co/image/dce8ed1deb85b3991e26a015817ee05ef6c3cb43,64,64
BABY D,2,1,6QszCVesupkhkaBeKGvrNu,,,
BABYLON ZOO,5,1,3k7uMwc8FLJmH8RHMh2HF8,https://i.scdn.co/image/12657182fe8990bb4d9431b5631e12535eb25172,200,222
BACCARA,1,1,4dn4KQgTE4P3jrwa3iIVzQ,https://i.scdn.co/image/1b24974e642448f579206d88d0ba2693aedb23a7,200,210
BACHELORS,1,1,0qDtyCZRYrja9CoeHXV6FD,https://i.scdn.co/image/29698c09ef3ab1df4f5cbb4371ddd7d7445d4eec,64,64
BACKSTREET BOYS,1,1,5rSXSAkZ67PYJSvpUpkOr7,https://i.scdn.co/image/cfa3d3127619013b1ead162cc4979e57c235c435,160,160
BADDIEL & SKINNER,5,2,3LtYMPncqtiugGwOuuLq3h,https://i.scdn.co/image/0f2e86b4ea09fbf184b7e0ece0dbc587f0bdb8c8,64,56
BAND AID,13,4,35S20clEkkSNUo23ViaslZ,https://i.scdn.co/image/d5c9c419f6849e662c0fac928625c8a05e9d010e,199,106
BAND AID 20,4,1,71UcB6UtI3juKDx2wsOaqn,https://i.scdn.co/image/35163aab96f442b750568c5bef8465002f159c0a,64,56
BAND AID 30,1,1,6KfzyefHYuqfWaI5taICaN,https://i.scdn.co/image/3788b3ba334ae7f64e2947c05308eacc1396c524,64,64
BAND AID II,3,1,,,,
BANGLES,4,1,51l0uqRxGaczYr4271pVIC,https://i.scdn.co/image/5b99b4a18f5bc95dc5e4f15088a4b45cd8294fc6,200,198
BARBARA DICKSON,4,1,5pi8sj5ExnwL73KjHR2lFR,https://i.scdn.co/image/189160b87fe18b0da5bba94b624a23b5437c5590,64,62
BARBARA GASKIN,4,1,,,,
BARBRA STREISAND,3,1,7jmTilWYlKOuavFfmQAcu6,https://i.scdn.co/image/86d9bd8857b36f8883d4d71256f16d777ec058d7,200,200
BARRY WHITE,2,1,3rfgbfpPSfXY40lzRK7Syt,https://i.scdn.co/image/99f49b1947bb7e1156effba51ef87c784952d344,200,135
BASSHUNTER,5,1,37DdwREpvvQHmGLFEZ4h0Q,https://i.scdn.co/image/38f3821dd08442bbf6378b3c08da55faf62bf089,160,160
BAY CITY ROLLERS,9,2,3r9TXuXfOUxXjgYgAR0fP8,https://i.scdn.co/image/6b9f556963cdf448fc6baad794e781afe24057b9,200,298
